year,农作物受灾面积(千公顷),农作物绝收面积(千公顷),旱灾受灾面积(千公顷),旱灾绝收面积(千公顷),洪涝、地质灾害和台风受灾面积(千公顷),洪涝、地质灾害和台风绝收面积(千公顷),风雹灾害受灾面积(千公顷),风雹灾害绝收面积(千公顷),低温冷冻和雪灾受灾面积(千公顷),低温冷冻和雪灾绝收面积(千公顷),自然灾害受灾人口(万人次),自然灾害受灾死亡人口(人),自然灾害直接经济损失(亿元)
2022年,12071.7,1351.8,6090.2,611.8,3575.8,505.2,1527.6,175.1,870.8,59.3,11267.8,554.0,2386.5
2021年,11739.2,1632.8,3426.2,464.1,5206.7,918.4,2711.9,205.7,378.6,44.4,10731.0,867.0,3340.2
2020年,19957.6,2706.0,5081.0,704.5,11059.6,1498.0,2765.2,290.8,1051.8,212.7,13829.7,591.0,3701.5
2019年,19256.9,2802.0,7838.0,1113.6,8604.8,1480.8,2228.4,171.4,585.7,36.2,13759.0,909.0,3270.9
2018年,20814.3,2585.0,7711.8,922.4,7283.1,1009.9,2406.8,196.6,3412.6,456.1,13553.9,589.0,2644.6
2017年,18478.1,1826.7,9874.8,752.4,5808.8,766.1,2268.1,225.2,524.5,83.0,14448.0,979.0,3018.7
2016年,26220.7,2902.2,9872.7,1018.3,10554.9,1442.4,2908.0,268.8,2885.0,172.7,18911.7,1706.0,5032.9
2015年,21769.8,2232.7,10609.7,1046.1,7341.3,841.0,2918.0,309.1,900.3,36.5,18620.3,967.0,2704.1
2014年,24890.7,3090.3,12271.7,1484.7,7222.0,976.9,3225.4,457.7,2132.5,168.2,24353.7,1818.0,3373.8
